စဥ်,အမျိုးအမည်,ကုန်စည်ဒိုင်,နေ့စွဲ,အချင်အတွယ်,စျေးနှုန်း (မြန်မာကျပ်),အတက်/အကျ,%
1,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-27,kg,"1,140",–,0.00%
2,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-26,kg,"1,140",–,0.00%
3,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-25,kg,"1,140",–,0.00%
4,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-24,kg,"1,140",–,0.00%
5,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-23,kg,"1,140",–,0.00%
6,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-20,kg,"1,140",–,0.00%
7,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-19,kg,"1,140",–,0.00%
8,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-18,kg,"1,140",–,0.00%
9,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-11,kg,"1,140",–,0.00%
10,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-10,kg,"1,140",–,0.00%
11,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-09,kg,"1,140",–,0.00%
12,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-06,kg,"1,140",–,0.00%
13,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-05,kg,"1,140",–,0.00%
14,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-04,kg,"1,140",–,0.00%
15,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-03,kg,"1,140",–,0.00%
16,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-02-02,kg,"1,140",–,0.00%
17,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-30,kg,"1,140",–,0.00%
18,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-29,kg,"1,140",–,0.00%
19,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-28,kg,"1,140",–,0.00%
20,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-27,kg,"1,140",–,0.00%
21,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-26,kg,"1,140",–,0.00%
22,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-23,kg,"1,140",–,0.00%
23,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-22,kg,"1,140",–,0.00%
24,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-21,kg,"1,140",–,0.00%
25,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-20,kg,"1,140",–,0.00%
26,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-19,kg,"1,140",–,0.00%
27,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-16,kg,"1,140",–,0.00%
28,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-15,kg,"1,140",–,0.00%
29,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-14,kg,"1,140",–,0.00%
30,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-13,kg,"1,140",–,-
31,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-12,kg,"1,140",–,0.00%
32,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-09,kg,"1,140",–,0.00%
33,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-08,kg,"1,140",–,0.00%
34,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-07,kg,"1,140",–,0.00%
35,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-06,kg,"1,140",–,0.00%
36,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2026-01-05,kg,"1,140",–,0.00%
37,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2025-12-31,kg,"1,140",–,0.00%
38,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2025-12-30,kg,"1,140",–,0.00%
39,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2025-12-29,kg,"1,140",–,0.00%
40,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2025-12-24,kg,"1,140",–,0.00%
41,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2025-12-23,kg,"1,140",–,0.00%
42,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2025-12-22,kg,"1,140",–,0.00%
43,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2025-12-18,kg,"1,140",–,0.00%
44,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2025-12-17,kg,"1,140",–,0.00%
45,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2025-12-16,kg,"1,140",–,0.00%
46,ဆန်ဧည့်မထ(ထိပ်စ),ဝါးတန်းကုန်စည်ဒိုင်,2025-12-15,kg,"1,140",–,0.00%
